2510,3494
2538,3405
2589,3294
2544,3185
2480,3235
2392,3229
2414,3547
2507,3684
2514,3815
2630,3765
2266,3636
2171,3569
2102,3456
2042,3483
2096,3359
1972,3338
1874,3319
1781,3321
1816,3246
2014,3027
2070,2933
2130,2921
1919,2959
1929,2589
1815,2233
1773,2123
1940,2085
1941,2199
2111,2183
2080,2007
2084,1880
1943,1845
1870,1963
1670,1878
1610,1854
1634,1737
1668,1623
1747,1627
1540,1660
1544,2076
1534,2176
1505,2716
1383,2721
1435,2823
1444,2942
1531,3021
1416,3200
1471,3278
1524,3351
1391,3441
1538,3561
1538,3713
1634,3791
1612,3901
1666,3961
1873,4013
1940,3894
2086,3932
2038,4029
1989,3734
2060,3659
1745,3673
1670,3668
1096,3769
973,3686
880,3548
976,3490
1003,3411
1050,3294
947,3229
856,3222
874,2913
934,2723
994,2731
1162,2830
1224,3115
1176,3212
1187,3286
629,3558
546,3631
486,3645
444,3721
414,3902
342,4025
155,3975
106,3915
131,3803
191,3751
154,3691
259,3341
346,3333
447,3343
478,3035
408,2963
400,2597
362,2520
300,2251
256,2143
413,2210
432,2109
580,2198
814,2377
763,2441
944,2267
986,2158
775,1891
713,1656
704,1565
726,1490
776,1375
840,1215
576,1171
515,1147
532,1231
472,1262
390,1184
364,1028
625,799
672,727
714,788
808,822
866,517
774,441
771,73
315,347
304,448
118,115
500,1389
569,1751
348,1773
272,1717
233,1813
60,2075
1774,1270
1817,1196
1874,1263
1971,1289
2096,1311
2126,1401
2066,1407
2167,1517
2266,1589
2413,1501
2509,1444
2537,1362
2588,1245
2544,1137
2478,1183
2392,1181
2410,868
2476,672
2538,682
2617,846
2703,775
2918,671
2971,775
2982,900
2952,1155
3002,1233
2829,1207
2722,1244
2716,1164
2760,1067
2924,1393
2628,1717
2514,1767
2506,1635
2062,1608
1988,1685
2016,981
2068,883
2128,873
1918,911
1926,542
1812,186
1773,75
1936,154
2111,135
2297,403
2493,259
2522,110
2522,2158
2428,2237
2493,2307
2304,2458
2537,2729
2619,2894
2704,2834
2952,2755
2767,3119
2714,3211
2726,3296
2831,3254
2836,3351
2956,3200
2405,2906
560,3915
